"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de margarine et graisses comestibles similaires (NAF rév. 2, niveau classe, poste 10.42)";"Codes"
"idBank";"010767629";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"(s)";"Q"
"2025-01";"(s)";"Q"
"2024-12";"(s)";"Q"
"2024-11";"(s)";"Q"
"2024-10";"(s)";"Q"
"2024-09";"(s)";"Q"
"2024-08";"(s)";"Q"
"2024-07";"(s)";"Q"
"2024-06";"(s)";"Q"
"2024-05";"(s)";"Q"
"2024-04";"(s)";"Q"
"2024-03";"(s)";"Q"
"2024-02";"(s)";"Q"
"2024-01";"(s)";"Q"
"2023-12";"(s)";"Q"
"2023-11";"(s)";"Q"
"2023-10";"(s)";"Q"
"2023-09";"(s)";"Q"
"2023-08";"(s)";"Q"
"2023-07";"(s)";"Q"
"2023-06";"(s)";"Q"
"2023-05";"(s)";"Q"
"2023-04";"(s)";"Q"
"2023-03";"(s)";"Q"
"2023-02";"(s)";"Q"
"2023-01";"(s)";"Q"
"2022-12";"(s)";"Q"
"2022-11";"(s)";"Q"
"2022-10";"(s)";"Q"
"2022-09";"(s)";"Q"
"2022-08";"(s)";"Q"
"2022-07";"(s)";"Q"
"2022-06";"(s)";"Q"
"2022-05";"(s)";"Q"
"2022-04";"(s)";"Q"
"2022-03";"(s)";"Q"
"2022-02";"(s)";"Q"
"2022-01";"(s)";"Q"
"2021-12";"(s)";"Q"
"2021-11";"(s)";"Q"
"2021-10";"(s)";"Q"
"2021-09";"(s)";"Q"
"2021-08";"(s)";"Q"
"2021-07";"(s)";"Q"
"2021-06";"(s)";"Q"
"2021-05";"(s)";"Q"
"2021-04";"(s)";"Q"
"2021-03";"(s)";"Q"
"2021-02";"(s)";"Q"
"2021-01";"(s)";"Q"
"2020-12";"(s)";"Q"
"2020-11";"(s)";"Q"
"2020-10";"(s)";"Q"
"2020-09";"(s)";"Q"
"2020-08";"(s)";"Q"
"2020-07";"(s)";"Q"
"2020-06";"(s)";"Q"
"2020-05";"(s)";"Q"
"2020-04";"(s)";"Q"
"2020-03";"(s)";"Q"
"2020-02";"(s)";"Q"
"2020-01";"(s)";"Q"
"2019-12";"(s)";"Q"
"2019-11";"(s)";"Q"
"2019-10";"(s)";"Q"
"2019-09";"(s)";"Q"
"2019-08";"(s)";"Q"
"2019-07";"(s)";"Q"
"2019-06";"(s)";"Q"
"2019-05";"(s)";"Q"
"2019-04";"(s)";"Q"
"2019-03";"(s)";"Q"
"2019-02";"(s)";"Q"
"2019-01";"(s)";"Q"
"2018-12";"(s)";"Q"
"2018-11";"(s)";"Q"
"2018-10";"(s)";"Q"
"2018-09";"(s)";"Q"
"2018-08";"(s)";"Q"
"2018-07";"(s)";"Q"
"2018-06";"(s)";"Q"
"2018-05";"(s)";"Q"
"2018-04";"(s)";"Q"
"2018-03";"(s)";"Q"
"2018-02";"(s)";"Q"
"2018-01";"(s)";"Q"
"2017-12";"(s)";"Q"
"2017-11";"(s)";"Q"
"2017-10";"(s)";"Q"
"2017-09";"(s)";"Q"
"2017-08";"(s)";"Q"
"2017-07";"(s)";"Q"
"2017-06";"(s)";"Q"
"2017-05";"(s)";"Q"
"2017-04";"(s)";"Q"
"2017-03";"(s)";"Q"
"2017-02";"(s)";"Q"
"2017-01";"(s)";"Q"
"2016-12";"(s)";"Q"
"2016-11";"(s)";"Q"
"2016-10";"(s)";"Q"
"2016-09";"(s)";"Q"
"2016-08";"(s)";"Q"
"2016-07";"(s)";"Q"
"2016-06";"(s)";"Q"
"2016-05";"(s)";"Q"
"2016-04";"(s)";"Q"
"2016-03";"(s)";"Q"
"2016-02";"(s)";"Q"
"2016-01";"(s)";"Q"
"2015-12";"(s)";"Q"
"2015-11";"(s)";"Q"
"2015-10";"(s)";"Q"
"2015-09";"(s)";"Q"
"2015-08";"(s)";"Q"
"2015-07";"(s)";"Q"
"2015-06";"(s)";"Q"
"2015-05";"(s)";"Q"
"2015-04";"(s)";"Q"
"2015-03";"(s)";"Q"
"2015-02";"(s)";"Q"
"2015-01";"(s)";"Q"
"2014-12";"(s)";"Q"
"2014-11";"(s)";"Q"
"2014-10";"(s)";"Q"
"2014-09";"(s)";"Q"
"2014-08";"(s)";"Q"
"2014-07";"(s)";"Q"
"2014-06";"(s)";"Q"
"2014-05";"(s)";"Q"
"2014-04";"(s)";"Q"
"2014-03";"(s)";"Q"
"2014-02";"(s)";"Q"
"2014-01";"(s)";"Q"
"2013-12";"(s)";"Q"
"2013-11";"(s)";"Q"
"2013-10";"(s)";"Q"
"2013-09";"(s)";"Q"
"2013-08";"(s)";"Q"
"2013-07";"(s)";"Q"
"2013-06";"(s)";"Q"
"2013-05";"(s)";"Q"
"2013-04";"(s)";"Q"
"2013-03";"(s)";"Q"
"2013-02";"(s)";"Q"
"2013-01";"(s)";"Q"
"2012-12";"(s)";"Q"
"2012-11";"(s)";"Q"
"2012-10";"(s)";"Q"
"2012-09";"(s)";"Q"
"2012-08";"(s)";"Q"
"2012-07";"(s)";"Q"
"2012-06";"(s)";"Q"
"2012-05";"(s)";"Q"
"2012-04";"(s)";"Q"
"2012-03";"(s)";"Q"
"2012-02";"(s)";"Q"
"2012-01";"(s)";"Q"
"2011-12";"(s)";"Q"
"2011-11";"(s)";"Q"
"2011-10";"(s)";"Q"
"2011-09";"(s)";"Q"
"2011-08";"(s)";"Q"
"2011-07";"(s)";"Q"
"2011-06";"(s)";"Q"
"2011-05";"(s)";"Q"
"2011-04";"(s)";"Q"
"2011-03";"(s)";"Q"
"2011-02";"(s)";"Q"
"2011-01";"(s)";"Q"
"2010-12";"(s)";"Q"
"2010-11";"(s)";"Q"
"2010-10";"(s)";"Q"
"2010-09";"(s)";"Q"
"2010-08";"(s)";"Q"
"2010-07";"(s)";"Q"
"2010-06";"(s)";"Q"
"2010-05";"(s)";"Q"
"2010-04";"(s)";"Q"
"2010-03";"(s)";"Q"
"2010-02";"(s)";"Q"
"2010-01";"(s)";"Q"
"2009-12";"(s)";"Q"
"2009-11";"(s)";"Q"
"2009-10";"(s)";"Q"
"2009-09";"(s)";"Q"
"2009-08";"(s)";"Q"
"2009-07";"(s)";"Q"
"2009-06";"(s)";"Q"
"2009-05";"(s)";"Q"
"2009-04";"(s)";"Q"
"2009-03";"(s)";"Q"
"2009-02";"(s)";"Q"
"2009-01";"(s)";"Q"
"2008-12";"(s)";"Q"
"2008-11";"(s)";"Q"
"2008-10";"(s)";"Q"
"2008-09";"(s)";"Q"
"2008-08";"(s)";"Q"
"2008-07";"(s)";"Q"
"2008-06";"(s)";"Q"
"2008-05";"(s)";"Q"
"2008-04";"(s)";"Q"
"2008-03";"(s)";"Q"
"2008-02";"(s)";"Q"
"2008-01";"(s)";"Q"
"2007-12";"(s)";"Q"
"2007-11";"(s)";"Q"
"2007-10";"(s)";"Q"
"2007-09";"(s)";"Q"
"2007-08";"(s)";"Q"
"2007-07";"(s)";"Q"
"2007-06";"(s)";"Q"
"2007-05";"(s)";"Q"
"2007-04";"(s)";"Q"
"2007-03";"(s)";"Q"
"2007-02";"(s)";"Q"
"2007-01";"(s)";"Q"
"2006-12";"(s)";"Q"
"2006-11";"(s)";"Q"
"2006-10";"(s)";"Q"
"2006-09";"(s)";"Q"
"2006-08";"(s)";"Q"
"2006-07";"(s)";"Q"
"2006-06";"(s)";"Q"
"2006-05";"(s)";"Q"
"2006-04";"(s)";"Q"
"2006-03";"(s)";"Q"
"2006-02";"(s)";"Q"
"2006-01";"(s)";"Q"
"2005-12";"(s)";"Q"
"2005-11";"(s)";"Q"
"2005-10";"(s)";"Q"
"2005-09";"(s)";"Q"
"2005-08";"(s)";"Q"
"2005-07";"(s)";"Q"
"2005-06";"(s)";"Q"
"2005-05";"(s)";"Q"
"2005-04";"(s)";"Q"
"2005-03";"(s)";"Q"
"2005-02";"(s)";"Q"
"2005-01";"(s)";"Q"
"2004-12";"(s)";"Q"
"2004-11";"(s)";"Q"
"2004-10";"(s)";"Q"
"2004-09";"(s)";"Q"
"2004-08";"(s)";"Q"
"2004-07";"(s)";"Q"
"2004-06";"(s)";"Q"
"2004-05";"(s)";"Q"
"2004-04";"(s)";"Q"
"2004-03";"(s)";"Q"
"2004-02";"(s)";"Q"
"2004-01";"(s)";"Q"
"2003-12";"(s)";"Q"
"2003-11";"(s)";"Q"
"2003-10";"(s)";"Q"
"2003-09";"(s)";"Q"
"2003-08";"(s)";"Q"
"2003-07";"(s)";"Q"
"2003-06";"(s)";"Q"
"2003-05";"(s)";"Q"
"2003-04";"(s)";"Q"
"2003-03";"(s)";"Q"
"2003-02";"(s)";"Q"
"2003-01";"(s)";"Q"
"2002-12";"(s)";"Q"
"2002-11";"(s)";"Q"
"2002-10";"(s)";"Q"
"2002-09";"(s)";"Q"
"2002-08";"(s)";"Q"
"2002-07";"(s)";"Q"
"2002-06";"(s)";"Q"
"2002-05";"(s)";"Q"
"2002-04";"(s)";"Q"
"2002-03";"(s)";"Q"
"2002-02";"(s)";"Q"
"2002-01";"(s)";"Q"
"2001-12";"(s)";"Q"
"2001-11";"(s)";"Q"
"2001-10";"(s)";"Q"
"2001-09";"(s)";"Q"
"2001-08";"(s)";"Q"
"2001-07";"(s)";"Q"
"2001-06";"(s)";"Q"
"2001-05";"(s)";"Q"
"2001-04";"(s)";"Q"
"2001-03";"(s)";"Q"
"2001-02";"(s)";"Q"
"2001-01";"(s)";"Q"
"2000-12";"(s)";"Q"
"2000-11";"(s)";"Q"
"2000-10";"(s)";"Q"
"2000-09";"(s)";"Q"
"2000-08";"(s)";"Q"
"2000-07";"(s)";"Q"
"2000-06";"(s)";"Q"
"2000-05";"(s)";"Q"
"2000-04";"(s)";"Q"
"2000-03";"(s)";"Q"
"2000-02";"(s)";"Q"
"2000-01";"(s)";"Q"
"1999-12";"(s)";"Q"
"1999-11";"(s)";"Q"
"1999-10";"(s)";"Q"
"1999-09";"(s)";"Q"
"1999-08";"(s)";"Q"
"1999-07";"(s)";"Q"
"1999-06";"(s)";"Q"
"1999-05";"(s)";"Q"
"1999-04";"(s)";"Q"
"1999-03";"(s)";"Q"
"1999-02";"(s)";"Q"
